ID,Môn học,Cấp học,Độ khó,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Đáp án đúng,Giải thích (Đáp án gốc)
141,Sinh học,THCS,Khó,Vì sao hô hấp tế bào quan trọng đối với cơ thể?,"Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật.",Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,B,Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.
142,Tin học,THPT,Dễ,Hãy cho biết Cơ sở dữ liệu là gì?,Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.",Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,"Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.",B,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả."
143,Toán,Tiểu học,Dễ,7 nhân 8 bằng bao nhiêu?,x = 4.,Chu vi là 6 × 4 = 24 cm.,7 nhân 8 bằng 56.,Hai nghiệm là x = 2 và x = 3.,C,7 nhân 8 bằng 56.
144,Ngữ văn,THPT,Dễ,Nghị luận xã hội là kiểu bài gì?,Nghị luận xã hội là kiểu bài dùng lập luận và bằng chứng để bàn luận về một vấn đề thuộc đời sống xã hội.,"Ẩn dụ là biện pháp tu từ gọi tên sự vật, hiện tượng này bằng tên của sự vật, hiện tượng khác dựa trên nét tương đồng.","Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn.",Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.,A,Nghị luận xã hội là kiểu bài dùng lập luận và bằng chứng để bàn luận về một vấn đề thuộc đời sống xã hội.
145,Tiếng Anh,THCS,Trung bình,Hãy cho biết Đổi câu 'They are playing football.' sang câu phủ định.?,Từ thích hợp là 'am'.,"Thì hiện tại hoàn thành thường dùng để nói về hành động đã xảy ra trong quá khứ nhưng có liên hệ với hiện tại, hoặc kinh nghiệm và hành động kéo dài đến hiện tại.",'Book' nghĩa là 'quyển sách'.,They are not playing football.,D,They are not playing football.
146,Tiếng Anh,Tiểu học,Trung bình,Em hãy giải thích: Điền từ thích hợp: 'I ___ a student.'?,"Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra.",She doesn't like apples.,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.,Từ thích hợp là 'am'.,D,Từ thích hợp là 'am'.
147,Toán,THPT,Khó,Hãy cho biết Tích phân ∫ từ 0 đến 1 của 2x dx bằng bao nhiêu?,Còn lại 29 quyển vở.,x = 4.,"Theo định lý Pythagore, cạnh huyền bằng √(6² + 8²) = 10 cm.",Giá trị tích phân là [x²] từ 0 đến 1 = 1.,D,Giá trị tích phân là [x²] từ 0 đến 1 = 1.
148,Tiếng Việt,Tiểu học,Khó,"Hãy cho biết Trong câu 'Những chú chim đang hót trên cành', chủ ngữ là gì?","Danh từ là từ chỉ người, sự vật, hiện tượng, khái niệm hoặc đơn vị.",Chủ ngữ là 'Những chú chim'.,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.","'Chăm chỉ' là từ chỉ đặc điểm, tính chất.",B,Chủ ngữ là 'Những chú chim'.
149,Lịch sử,THPT,Dễ,Hãy cho biết Chiến tranh thế giới thứ hai kết thúc vào năm nào?,Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.,Chiến thắng Điện Biên Phủ diễn ra năm 1954.,Chiến tranh thế giới thứ hai kết thúc vào năm 1945.,Cách mạng tháng Tám đã giành chính quyền trên cả nước và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa.,C,Chiến tranh thế giới thứ hai kết thúc vào năm 1945.
150,Tin học,THPT,Trung bình,Khóa chính trong cơ sở dữ liệu quan hệ có chức năng gì?,Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.,Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,"Mật khẩu mạnh nên đủ dài, khó đoán và kết hợp nhiều loại ký tự; không nên dùng thông tin cá nhân dễ đoán.","Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.",A,Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.
151,Tin học,THCS,Khó,Hãy cho biết Tại sao cần kiểm tra dữ liệu đầu vào của chương trình?,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.","Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.",Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.,"Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn.",D,"Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn."
152,Tiếng Anh,THPT,Trung bình,Em hãy giải thích: Câu điều kiện loại 1 thường dùng để diễn tả điều gì?,Từ thích hợp là 'am'.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.",Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.,They are not playing football.,C,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.
153,Toán,THCS,Dễ,Số nguyên là gì?,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",f'(x)=2x.,"Theo định lý Pythagore, cạnh huyền bằng √(6² + 8²) = 10 cm.",7 nhân 8 bằng 56.,A,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương."
154,Địa lý,THPT,Trung bình,Cơ cấu kinh tế gồm những khu vực chính nào?,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,Thủ đô của Việt Nam là Hà Nội.,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.",Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.,C,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ."
155,Địa lý,THPT,Trung bình,Hãy cho biết Cơ cấu kinh tế gồm những khu vực chính nào?,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.",Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.,B,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ."
156,Lịch sử,Tiểu học,Dễ,Ai là người đọc Tuyên ngôn Độc lập ngày 2 tháng 9 năm 1945?,Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập.,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia.","Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Chiến thắng Điện Biên Phủ diễn ra năm 1954.,A,Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập.
157,Tiếng Anh,Tiểu học,Dễ,Em hãy giải thích: Từ 'book' nghĩa là gì?,'Book' nghĩa là 'quyển sách'.,"Cấu trúc cơ bản là chủ ngữ mới + be + past participle (V3), với thì của động từ be phù hợp.",Từ thích hợp là 'am'.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.",A,'Book' nghĩa là 'quyển sách'.
158,Toán,Tiểu học,Dễ,Hãy cho biết 7 nhân 8 bằng bao nhiêu?,7 nhân 8 bằng 56.,"Theo định lý Pythagore, cạnh huyền bằng √(6² + 8²) = 10 cm.",Hai nghiệm là x = 2 và x = 3.,Có 16 học sinh nữ và 16 học sinh nam.,A,7 nhân 8 bằng 56.
